,timestamp,question,x,y,id,group_size,gaze_c
1002,33329,1,976,432,1130101,3,1
1003,33370,1,987,400,1130101,3,1
1004,33400,1,971,403,1130101,3,1
1005,33430,1,985,398,1130101,3,1
1006,33481,1,961,392,1130101,3,1
1007,33513,1,965,383,1130101,3,1
1008,33533,1,954,432,1130101,3,1
1009,33563,1,974,453,1130101,3,1
1010,33603,1,958,389,1130101,3,1
1011,33634,1,979,368,1130101,3,1
1012,33664,1,490,425,1130101,3,1
1013,33705,1,368,445,1130101,3,1
1014,33736,1,386,454,1130101,3,1
1015,33766,1,370,458,1130101,3,1
1016,33798,1,381,443,1130101,3,1
1017,33838,1,374,443,1130101,3,1
1018,33868,1,373,460,1130101,3,1
1019,33899,1,391,363,1130101,3,1
1020,33939,1,391,377,1130101,3,1
1021,33971,1,412,360,1130101,3,1
1022,34002,1,407,356,1130101,3,1
1023,34032,1,377,383,1130101,3,1
1024,34072,1,390,376,1130101,3,1
1025,34103,1,350,397,1130101,3,1
1026,34133,1,362,426,1130101,3,1
1027,34173,1,352,418,1130101,3,1
1028,34204,1,363,429,1130101,3,1
1029,34234,1,357,410,1130101,3,1
1030,34264,1,348,391,1130101,3,1
1031,34305,1,372,378,1130101,3,1
1903,63342,2,976,401,1130101,3,0
1904,63383,2,986,391,1130101,3,0
1905,63424,2,947,419,1130101,3,0
1906,63454,2,970,381,1130101,3,0
1907,63484,2,972,437,1130101,3,0
1908,63515,2,1004,361,1130101,3,0
1909,63545,2,976,456,1130101,3,0
1910,63575,2,969,405,1130101,3,0
1911,63626,2,966,330,1130101,3,0
1912,63656,2,977,396,1130101,3,0
1913,63686,2,990,446,1130101,3,0
1914,63717,2,979,387,1130101,3,0
1915,63747,2,460,431,1130101,3,0
1916,63777,2,408,447,1130101,3,0
1917,63809,2,421,453,1130101,3,0
1918,63860,2,418,442,1130101,3,0
1919,63890,2,412,449,1130101,3,0
1920,63921,2,445,427,1130101,3,0
1921,63951,2,416,429,1130101,3,0
1922,63982,2,402,431,1130101,3,0
1923,64012,2,426,445,1130101,3,0
1924,64042,2,392,453,1130101,3,0
1925,64093,2,412,435,1130101,3,0
1926,64124,2,433,427,1130101,3,0
1927,64155,2,369,471,1130101,3,0
1928,64185,2,367,457,1130101,3,0
1929,64215,2,382,441,1130101,3,0
1930,64246,2,370,436,1130101,3,0
1931,64276,2,377,471,1130101,3,0
1932,64326,2,357,465,1130101,3,0
993,33066,1,1002,392,1130102,3,1
994,33095,1,981,401,1130102,3,1
